CarID: 0, ts: 0,   traveling to connector.
CarID: 1, ts: 0,   traveling to connector.
CarID: 3, ts: 0,   traveling to connector.
CarID: 2, ts: 0,   traveling to connector.
CarID: 0, ts: 100, arrived at connector.
CarID: 0, ts: 100, started passing connector.
CarID: 3, ts: 100, arrived at connector.
CarID: 2, ts: 100, arrived at connector.
CarID: 1, ts: 100, arrived at connector.
CarID: 3, ts: 110, started passing connector.
CarID: 0, ts: 200, finished passing connector.
CarID: 0, ts: 200, traveling to connector.
CarID: 3, ts: 210, finished passing connector.
CarID: 3, ts: 210, traveling to connector.
CarID: 2, ts: 210, started passing connector.
CarID: 1, ts: 220, started passing connector.
CarID: 0, ts: 300, arrived at connector.
CarID: 3, ts: 310, arrived at connector.
CarID: 2, ts: 310, finished passing connector.
CarID: 2, ts: 310, traveling to connector.
CarID: 1, ts: 320, finished passing connector.
CarID: 1, ts: 320, traveling to connector.
CarID: 0, ts: 321, started passing connector.
CarID: 3, ts: 331, started passing connector.
CarID: 2, ts: 410, arrived at connector.
CarID: 2, ts: 421, started passing connector.
CarID: 1, ts: 421, arrived at connector.
CarID: 0, ts: 421, finished passing connector.
CarID: 0, ts: 421, traveling to connector.
CarID: 1, ts: 431, started passing connector.
CarID: 3, ts: 431, finished passing connector.
CarID: 3, ts: 431, traveling to connector.
CarID: 2, ts: 521, finished passing connector.
CarID: 2, ts: 521, traveling to connector.
CarID: 0, ts: 521, arrived at connector.
CarID: 1, ts: 531, finished passing connector.
CarID: 1, ts: 531, traveling to connector.
CarID: 0, ts: 531, started passing connector.
CarID: 3, ts: 531, arrived at connector.
CarID: 3, ts: 541, started passing connector.
CarID: 2, ts: 621, arrived at connector.
CarID: 2, ts: 631, started passing connector.
CarID: 1, ts: 631, arrived at connector.
CarID: 0, ts: 631, finished passing connector.
CarID: 1, ts: 641, started passing connector.
CarID: 3, ts: 641, finished passing connector.
CarID: 2, ts: 731, finished passing connector.
CarID: 1, ts: 741, finished passing connector.
